PSD-95 mutant,,,,,
"1/27/98,2","1/22/98,2","1/20/98,2","2/5/98,1","2/12/98,2",time
103.7955340859,96.9519720955,100.4879418682,99.4273867114,98.3545947598,-20.8325
103.1941637502,99.5707002951,97.700705585,101.4348241024,95.5809334657,-19.9992
96.8797752255,97.6066541454,98.989012532,97.6206930595,98.3767473837,-19.1659
103.1941637502,99.8980413201,101.1303401552,96.0114522658,100.9433962264,-18.3326
94.4693646177,102.8441105447,100.2738091059,96.2121960049,99.0757008632,-17.4993
105.9052595258,94.0005366246,99.4172780567,99.6281304505,100.0076388358,-16.666
98.0825158969,95.9699490207,98.7748797697,98.8251554941,103.0402566649,-15.8327
100.4879972396,103.4987925946,101.7727384421,101.0333366242,101.8753341991,-14.9994
98.9845714004,100.225382345,97.700705585,102.0370553197,97.6777939042,-14.1661
99.8866269039,99.2433592702,101.7727384421,102.8400302761,100.0076388358,-13.3328
102.5927934145,99.2433592702,100.0596763436,99.0258992332,100.9433962264,-12.4995
101.3900527431,104.1534746445,100.0596763436,102.4385427979,100.7104117333,-11.6662
100.4879972396,104.1534746445,100.9162073928,98.4236680159,101.1763807196,-10.8329
95.3714201213,104.8135229407,98.7748797697,99.4273867114,100.4774272401,-9.9996
100.1873120718,100.225382345,102.415136729,101.6355678415,102.5742876786,-9.1663
99.5859417361,102.1894284948,100.4879418682,99.6281304505,102.1083186922,-8.333
100.1873120718,97.2793131205,99.2031452943,101.8363115806,100.2444427469,-7.4997
95.977719722,101.5347464449,101.7727384421,100.631849146,100.0076388358,-6.6664
102.2921082467,98.9160182452,98.5607470074,100.8325928851,97.5062256512,-5.8331
100.4879972396,101.5347464449,100.9162073928,101.4348241024,100.9433962264,-4.9998
100.4879972396,97.2793131205,100.7020746305,103.2448086353,100.2444427469,-4.1665
102.2921082467,98.9160182452,101.7727384421,98.2229242768,98.3767473837,-3.3332
95.977719722,101.5347464449,97.2724400604,101.6355678415,100.9433962264,-2.4999
98.0825158969,98.5886772203,98.989012532,99.8288741896,100.7104117333,-1.6666
99.5859417361,101.5347464449,98.3466142451,97.2159147004,96.6423497059,-0.8333
100.1873120718,98.2613361953,101.7727384421,99.4273867114,100.4774272401,0
119.7417065116,172.2833378052,138.6246357988,155.6685424688,215.8696814605,0.08333
