Wild type,,,,,
"1/26/98,4","1/23/98,4","2/4/98,2","2/6/98,2","2/10/98,3",time
106.3511696693,100.0917431193,99.8247663551,97.1815613765,100.0755083329,-20.8325
100.1129335843,99.7419724771,99.5872274143,102.2727272727,99.4175071463,-19.9992
98.4727077171,100.4415137615,104.8169781931,98.3564458141,104.3525160455,-19.1659
99.4568432374,100.0917431193,95.0700934579,103.0559835645,102.0495118926,-18.3326
100.4409787577,101.1410550459,104.3419003115,103.0559835645,98.4305053665,-17.4993
97.8166173703,99.3922018349,106.7172897196,101.8810991269,100.4045089262,-16.666
96.83248185,100.7912844037,102.441588785,101.0978428351,100.7335095194,-15.8327
103.0653401452,106.3933486239,100.062305296,99.1397021058,102.0495118926,-14.9994
99.128798064,102.5458715596,99.3496884735,98.7480739599,100.0755083329,-14.1661
98.4727077171,101.4908256881,100.5373831776,96.3983050847,98.7595059598,-13.3328
100.1129335843,95.8944954128,101.9626168224,98.3564458141,99.7465077396,-12.4995
101.425114278,97.6433486239,101.25,99.9229583975,95.4641065746,-11.6662
101.7531594515,96.244266055,102.9166666667,97.9648176682,98.1015047732,-10.8329
100.7690239312,98.6926605505,93.6448598131,100.7062146893,98.7595059598,-9.9996
97.8166173703,101.8463302752,101.7250778816,101.489470981,102.3785124858,-9.1663
102.0812046249,101.1410550459,98.6370716511,100.7062146893,97.1145029934,-8.333
104.0494756655,99.0424311927,101.7250778816,101.0978428351,103.3655142657,-7.4997
98.8007528906,100.0917431193,94.8325545171,101.489470981,100.4045089262,-6.6664
97.1605270234,99.7419724771,100.7749221184,101.8810991269,101.391510706,-5.8331
100.7690239312,100.7912844037,100.2998442368,98.3564458141,97.1145029934,-4.9998
101.0970691046,102.1961009174,96.0241433022,97.5731895223,100.0755083329,-4.1665
97.1605270234,100.7912844037,100.062305296,106.5870570108,99.4175071463,-3.3332
99.4568432374,95.1949541284,97.6869158879,95.2234206471,99.4175071463,-2.4999
99.128798064,98.3428899083,101.0124610592,99.9229583975,98.7595059598,-1.6666
97.4885721968,100.7912844037,94.3574766355,99.9229583975,100.0755083329,-0.8333
100.7690239312,99.3922018349,100.2998442368,97.5731895223,102.0495118926,0
150.6641570315,135.7912844037,132.6246105919,148.1253210067,148.1365622135,0.08333
147.3783275074,135.7912844037,100.5373831776,145.3775038521,132.9971414703,0.916633
145.4100564668,126.6915137615,103.1542056075,137.9365690806,122.7873361739,1.749936
143.4417854262,128.0905963303,102.2040498442,132.447354905,131.0177444582,2.583239
138.8437752084,127.3910550459,101.9626168224,118.3423215203,119.1683296478,3.416542
132.6109169131,130.8887614679,99.8247663551,135.188751926,125.0957337792,4.249845
141.1454692122,131.5940366972,97.2118380062,126.1813045711,127.3987379322,5.083148
139.8279107287,134.7419724771,99.3496884735,137.1533127889,119.4973302411,5.916451
134.5791879538,131.5940366972,105.2920560748,126.1813045711,121.1423332075,6.749754
125.3885453079,129.8394495413,99.8247663551,129.3143297381,121.4713338008,7.583057
133.9230976069,127.7408256881,99.3496884735,123.0418592707,120.1553314276,8.41636
132.6109169131,124.2431192661,102.9166666667,122.2586029789,121.1423332075,9.249663
123.0922290938,128.7901376147,95.5490654206,114.0344119158,129.0437408985,10.082966
129.981177736,132.6433486239,105.2920560748,131.6640986133,124.7667331859,10.916269
131.9548265663,127.7408256881,101.9626168224,120.6920903955,122.7873361739,11.749572
136.2194138209,123.1938073394,101.4875389408,134.7971237802,119.4973302411,12.582875
133.9230976069,128.7901376147,98.6370716511,114.4260400616,121.4713338008,13.416178
135.5633234741,123.8933486239,103.6292834891,122.2586029789,117.1943260881,14.249481
124.4044097876,125.2924311927,102.9166666667,119.5172059579,111.9249231433,15.082784
129.6531325625,122.1444954128,96.261682243,119.9088341037,119.4973302411,15.916087
130.9653132563,129.8394495413,99.8247663551,117.5590652286,123.7797314061,16.74939
125.7165904813,124.2431192661,97.2118380062,127.3561890087,115.878323715,17.582693
121.4466254369,124.9426605505,98.8746105919,115.2092963534,117.5233266814,18.415996
120.1344447432,127.7408256881,99.3496884735,124.2167437083,120.4843320209,19.249299
123.0922290938,123.1938073394,94.3574766355,108.936825886,118.8393290545,20.082602
120.1344447432,127.0412844037,95.5490654206,108.1535695942,113.898926703,20.915905
118.1661737026,124.2431192661,97.9244548287,123.8251155624,117.1943260881,21.749208
122.7588061307,119.6903669725,97.2118380062,105.0205444273,125.7537349658,22.582511
125.3885453079,118.6410550459,95.7866043614,117.9506933744,117.5233266814,23.415814
118.8222640495,129.8394495413,92.9322429907,107.7619414484,111.59592255,24.249117
120.4624899166,126.3417431193,94.3574766355,119.5172059579,111.59592255,25.08242
120.1344447432,119.3405963303,92.2196261682,106.1954288649,113.2409255164,25.915723
121.4466254369,125.9919724771,89.8442367601,116.7758089368,111.59592255,26.749026
116.8539930089,123.1938073394,95.3076323988,105.8038007191,108.6349172105,27.582329
122.7588061307,130.8887614679,90.5568535826,118.3423215203,115.2203225285,28.415632
124.732454961,120.0401376147,94.8325545171,105.0205444273,108.6349172105,29.248935
