PSD-95 mutant,,,,,,,
"1/27/98,1","1/22/98,4","1/20/98,4","1/20/98,3","1/28/98,2","1/28/98,3","2/5/98,2",time
96.8468225258,99.7655412647,99.805972491,100.8212022607,97.5751940202,97.3033778083,105.0968539635,-20.8325
98.8661519356,98.3319935691,103.4255530568,99.7765028258,96.9207109903,98.8626066306,103.4162201768,-19.9992
99.5356622213,102.4216237942,100.8681554312,95.4729691157,99.1023210901,99.2500703059,102.0195081742,-19.1659
99.5356622213,100.3784833869,99.9110925161,97.5623679854,97.5751940202,98.8626066306,103.4162201768,-18.3326
98.8661519356,102.2173097535,97.9969666858,100.5774390592,99.53864311,100.8061744211,97.550029766,-17.4993
94.8274931159,103.0345659164,94.8067569688,101.7468744648,101.5056686098,98.8626066306,101.7401657737,-16.666
92.8081637061,102.8302518757,101.5061973746,102.7915738996,101.0693465899,100.4187107459,97.8293721665,-15.8327
98.1912423735,98.9449356913,102.7875111134,100.3482331449,97.5751940202,101.9748148611,100.3434537711,-14.9994
100.2105717834,100.9914255091,97.8926311385,97.5623679854,103.2509566897,101.5873511858,102.0195081742,-14.1661
96.1719129637,100.5827974277,101.1871764029,96.1694354056,101.0693465899,99.6406586882,99.2260841691,-13.3328
103.5689217645,96.6974812433,105.3396788871,96.9906376663,103.2509566897,99.2500703059,101.1814809727,-12.4995
101.5549916311,99.561227224,97.6779457141,95.8212022607,98.8841600801,98.4720182483,101.4608233732,-11.6662
101.5549916311,101.4000535906,100.2301134878,102.7915738996,103.4691176997,97.6939661907,102.8575353757,-10.8329
102.8994114789,96.901795284,97.3589247424,99.1845064794,97.1388720003,98.8626066306,100.3434537711,-9.9996
99.5356622213,99.1525991426,99.8067569688,102.4433407547,101.7238296198,99.2500703059,100.3434537711,-9.1663
103.5689217645,100.1741693462,99.9110925161,101.0446994348,98.0115160402,101.1967628035,98.3880569675,-8.333
102.2245019167,98.3319935691,103.7445740286,101.7468744648,99.3204821001,101.1967628035,101.1814809727,-7.4997
96.1719129637,101.1957395498,102.7875111134,103.4880401895,97.5751940202,100.4187107459,95.3107111783,-6.6664
98.8661519356,98.7406216506,97.9969666858,104.8809727693,101.0693465899,101.5873511858,94.1933415762,-5.8331
100.2105717834,100.9914255091,98.6350086293,95.5774390592,101.5056686098,101.1967628035,100.3434537711,-4.9998
104.2438313266,101.6043676313,102.14946917,100,99.53864311,101.1967628035,95.8693959793,-4.1665
102.8994114789,100.7871114684,99.2730505727,96.5176685506,99.53864311,99.2500703059,94.4726839767,-3.3332
100.880082069,96.6974812433,97.0399037707,103.4880401895,99.1023210901,102.7528669187,100.9021385721,-2.4999
100.880082069,102.6259378349,101.1871764029,97.2141348404,99.97854154,101.1967628035,100.3434537711,-1.6666
100.880082069,97.1061093248,98.6350086293,99.6517668551,103.2509566897,98.4720182483,100.3434537711,-0.8333
104.2438313266,98.5363076099,97.9969666858,101.3986413199,101.5056686098,100.4187107459,99.7847689701,0
74.6503968468,50.4957127546,40.220176769,80.8357595479,60.9026858839,80.8357595479,55.0625085863,0.25
275.0715404136,210.3630760986,210.9983787459,110.1044699435,352.3193018848,175.1492047621,162.6734441544,1.0833
369.8990335295,215.8829046088,239.087913812,114.9854427128,418.6903186581,170.0871793269,186.7106287494,1.9166
398.142648885,219.7682207931,242.5971445008,113.940743278,425.4497335575,167.3624347717,193.6987681458,2.7499
406.8894768101,222.6286173633,253.1352962711,110.1044699435,372.1969886628,165.0282785989,190.3466593397,3.5832
398.8175584472,229.5819935691,249.9398567021,122.6522806417,405.6006580594,161.9160703684,197.8934835371,4.4165
402.1813077048,228.557073955,252.178233356,123.6969800765,421.0865133579,159.1913258132,203.4803315474,5.2498
405.5450569624,223.2415594855,251.2159405889,138.6767140492,417.5816315582,154.5198887604,193.9781105463,6.0831
398.8175584472,230.8078778135,251.5349615606,139.0249471942,418.6903186581,155.6885292004,199.0108531392,6.9164
400.1619782949,233.6682743837,242.2781235291,135.5426157447,431.9945638568,156.8540449333,195.3748225489,7.7497
396.1287187517,231.8294480171,249.6208357303,152.2692241822,413.2184113587,152.5731962629,203.4803315474,8.583
396.1287187517,234.4855305466,265.9013649914,143.5576868185,429.812953757,151.7951442052,197.6141411366,9.4163
402.1813077048,241.6432207931,255.3684430731,138.6767140492,426.7730052573,149.8484517077,195.9335073499,10.2496
398.142648885,237.7579046088,261.1160504158,146.3435519781,425.0205643575,145.9581914196,202.3629619453,11.0829
393.4398790562,238.9837888532,260.4727786204,149.1294171376,425.4497335575,147.1237071525,205.9989925356,11.9162
400.1619782949,236.5320203644,252.178233356,148.0847177028,415.1854368585,147.9017592101,205.9989925356,12.7495
402.1813077048,235.9190782422,249.6208357303,148.7811839927,430.027538357,144.7895509796,195.3748225489,13.5828
397.4731385994,233.6682743837,252.178233356,143.9059199635,409.963878259,147.9017592101,200.9662499428,14.4161
400.1619782949,236.3277063237,259.1966947335,140.771821659,431.3508100569,147.9017592101,203.4803315474,15.2494
400.836887857,240.4139871383,247.3876889284,157.8409545013,413.0038267587,144.7895509796,201.5249347438,16.0827
