,Wild type,,,,,
time,"1/26/98,1","1/23/98,3","2/4/98,1","2/6/98,h2","2/10/98,2",2/11 sum
-20.8325,101.4177284435,96.9822920726,100.0738804274,104.5055542609,96.7478876007,96.570831597
-19.9992,100.7225400588,98.0387063255,99.0338713344,103.5345296357,98.5491583153,98.2115581847
-19.1659,99.1931256126,100.6840715244,99.0338713344,102.5712732075,100.1473766948,94.6232909329
-18.3326,102.2542338112,104.1174178465,101.8072289157,112.2426784743,96.9509399358,99.6006302679
-17.4993,100.7225400588,102.0045893406,102.1538986133,103.5345296357,97.3504945307,98.8723201278
-16.666,101.2786907665,103.58921072,99.5538758809,95.7974054222,100.9464858846,100.1408563184
-15.8327,99.8883139972,98.8310170152,100.7672198227,100.6292239571,99.5480448025,98.1670787298
-14.9994,98.0785448909,99.3635537083,102.8472380086,108.3741163676,101.3460404795,100.1408563184
-14.1661,98.0785448909,102.7969000303,97.2976812912,100.6292239571,101.146263182,101.8790500566
-13.3328,99.1931256126,105.7020392259,99.3805410321,103.5345296357,100.9464858846,100.0948667106
-12.4995,100.305427028,101.4763822141,97.47101614,100.6292239571,99.7478221,99.9283412102
-11.6662,99.7492763203,99.099450145,100.9405546715,102.5712732075,98.3493810179,99.6910993305
-10.8329,101.0006154127,97.2463956358,98.6872016367,101.6002485823,103.546865789,103.6863021447
-9.9996,102.5323091651,103.3251071568,97.8176858377,103.5345296357,101.3460404795,102.9120023969
-9.1663,99.4712009664,102.2686929038,100.9405546715,95.7974054222,101.3460404795,100.4225776529
-8.333,101.0006154127,98.3028098887,99.7272107297,94.826380797,104.5457522762,103.192065702
-7.4997,98.2175825679,101.4763822141,101.2872243692,93.8553561718,101.3460404795,101.7339352689
-6.6664,98.2175825679,97.510499199,98.511025233,99.6659675289,101.7455950743,97.5347255874
-5.8331,101.4177284435,101.7404857774,100.0738804274,94.826380797,97.5502718281,98.8263305201
-4.9998,99.0540879356,98.8310170152,99.9005455785,100.6292239571,95.7490011135,102.370118317
-4.1665,98.7760125818,99.3635537083,100.9405546715,89.0235376369,97.3504945307,103.192065702
-3.3332,100.7225400588,99.6276572715,99.2072061832,98.6949429038,98.7489356128,102.6764185466
-2.4999,100.305427028,97.2463956358,101.9805637645,102.5712732075,101.3460404795,97.6268526794
-1.6666,100.5835023819,98.0387063255,99.3805410321,90.9578186903,98.9487129102,97.1571951317
-0.8333,97.6614318601,94.3412564402,101.1138895203,99.6659675289,103.9464203838,100.7486305658
0,100.1663893511,98.0387063255,100.0738804274,95.7974054222,100.7467085871,100.3995089108
0.25,85.6973537255,79.2786942027,89.1481018413,180.9446127554,32.1831401061,97.4940760381
1.0833,128.2679552344,79.2786942027,95.2176631053,125.7904140449,125.3356913605,114.4045499669
1.9166,143.8492922754,135.8314932675,106.490111389,146.1120174008,146.1223554071,138.9001519912
2.7499,163.3259635767,142.1699787851,107.1834507843,150.9516041327,150.320953691,154.7723335212
3.5832,168.6139539124,144.2871368576,116.375880882,160.6230093995,157.919041069,152.0687356396
4.4165,170.1433683587,144.8153439841,115.8558763355,159.6597529713,156.5173249492,156.6454757768
5.2498,178.4901875869,149.305104559,122.7949533985,154.8201662394,165.3140761119,163.5944208242
6.0831,182.663597201,151.6863661947,126.9549897704,157.725471918,167.1120717888,164.0410096297
6.9164,184.1952909534,146.1358618002,129.9045237554,156.7544472928,165.7136307068,167.9601560061
7.7497,183.3610648918,149.0410009958,130.2511934531,150.9516041327,166.5127398965,175.7101515726
8.583,185.3075923689,153.2709875741,138.230279609,159.6597529713,173.707997642,182.7533955881
9.4163,184.1952909534,149.5692081223,137.5369402137,161.5940340247,171.7102246676,177.6540102075
10.2496,179.8828436624,153.5350911374,142.3931575358,151.9148605609,174.9099364643,176.9487688096
11.0829,185.4466300458,153.2709875741,137.0169356672,158.6887283462,178.5059278182,179.1811989905
11.9162,183.0807102318,153.5350911374,143.4331666288,154.8201662394,174.7101591668,177.2534110097
12.7495,179.8828436624,148.7768974326,140.4836326438,161.5940340247,177.7068186284,176.410052912
13.5828,181.1341827548,147.4563796164,148.8093884974,156.7544472928,174.9099364643,170.9138982393
14.4161,174.7338910036,149.305104559,142.9131620823,149.9805795075,178.7057051156,171.2185404394
15.2494,180.717069724,150.0974152487,147.2493748579,147.0752738289,173.707997642,175.4906383765
16.0827,180.578032047,148.5127938693,140.4836326438,145.1409927756,174.1075522369,173.0965089069
16.916,182.3855218471,146.1358618002,148.9827233462,146.1120174008,172.1097792625,169.9762411733
17.7493,183.0807102318,150.894055505,147.4227097068,158.6887283462,167.7114036811,172.0404878244
18.5826,181.8293711394,148.7768974326,144.8198454194,157.725471918,169.7124516932,175.6834008013
19.4159,179.4657306316,150.3658483786,147.7693794044,154.8201662394,167.3118490863,175.2105750713
20.2492,181.1341827548,145.871758237,143.0864969311,148.0462984541,167.5116263837,176.6687055044
21.0825,182.8026348779,146.1358618002,145.3398499659,151.9148605609,173.5082203445,175.7278802562
21.9158,176.9607731407,151.1581590683,139.6169583996,148.0462984541,172.5093338573,172.48707663
22.7491,186.2808561074,142.4340823484,143.6065014776,156.7544472928,173.1086657497,175.0440495709
23.5824,179.0463382946,146.9281724899,142.7398272335,144.1777363474,166.9122944914,178.4759575926
24.4157,184.3343286304,146.1358618002,147.5960445556,148.0462984541,168.7102901683,175.6834008013
25.249,181.2732204317,148.7768974326,145.6865196636,145.1409927756,169.1131198009,174.5284024155
26.0823,183.5001025688,148.5127938693,142.3931575358,149.0095548823,168.9100674658,174.9091010535
26.9156,178.35114991,150.894055505,142.7398272335,151.9148605609,168.9100674658,174.5760500527
27.7489,179.6047683085,141.6417716587,145.8598545124,146.1120174008,168.9100674658,173.4723813331
28.5822,179.7438059855,141.3776680954,141.6969765856,148.0462984541,167.7114036811,181.3145039915
29.4155,177.7949992022,148.5127938693,146.9027051603,139.3381496155,171.1108927753,170.8164310887
30.2488,178.35114991,146.1358618002,143.25983178,140.3014060437,169.5126743958,178.0063000449
31.0821,180.2999566932,142.4340823484,142.9131620823,140.3014060437,168.5105128709,175.5859336508
