PSD-95 mutant,,,,,,,
"1/27/98,3","1/22/98,7","1/22/98,3","1/20/98,5","1/28/98,6","2/5/98,h2","2/5/98,3",time
102.4634072733,100.462659679,97.6439334553,98.5300406243,98.6366710568,95.0269588161,102.2916055898,-20.8325
101.5429304361,99.9590566656,94.9307551607,103.0949326491,102.7658135479,97.8834461397,100.5032737223,-19.9992
98.0873698506,101.961185719,93.306332201,103.0949326491,98.4195351155,94.309969026,100.5032737223,-19.1659
99.2417383431,98.9600393056,100.897134396,105.0566602523,97.3338554088,93.5987151543,98.4168865435,-18.3326
98.7777274785,96.9620045857,98.7283337688,100.8124866367,100.3773181931,100.7399334633,97.820775921,-17.4993
94.6355817112,97.9610219456,101.4415120634,103.0949326491,100.5944541345,98.5947000115,102.8877162123,-16.666
102.4634072733,98.2107762856,101.4415120634,97.2257857601,100.3773181931,99.3116898015,94.8353366559,-15.8327
98.3174890599,100.962168359,103.6103126905,105.3827239684,99.2880788809,102.8851669152,96.3304993648,-14.9994
103.844122529,94.2147068457,99.2727114363,104.4045328202,96.8995835261,101.4569232534,95.4363334311,-14.1661
99.4718575524,98.7102849656,98.7283337688,108.969424845,101.0287260172,108.5981415625,99.012997166,-13.3328
101.7730496454,99.2097936456,100.3571117498,97.5518494762,101.6801338412,101.4569232534,96.3304993648,-12.4995
102.6935264826,99.7093023256,101.4415120634,102.116741501,101.2458619585,97.8834461397,96.9266099873,-11.6662
102.4634072733,101.961185719,100.3571117498,101.1385503528,107.7634998042,98.5947000115,97.2246652985,-10.8329
98.5476082692,102.210940059,99.2727114363,92.6555484285,101.6801338412,103.596420787,102.2916055898,-9.9996
101.0826920175,100.2088110056,101.4415120634,102.442805217,102.7658135479,97.8834461397,101.397439656,-9.1663
101.5429304361,102.210940059,100.3571117498,100.8124866367,102.7658135479,97.1664563497,100.205218411,-8.333
100.6224535989,99.7093023256,101.4415120634,98.2039769083,99.9430463105,97.1664563497,101.6954949673,-7.4997
99.932095971,102.9602030789,98.1883111227,98.2039769083,100.3773181931,100.0286795916,111.5362063911,-6.6664
99.932095971,101.711431379,101.4415120634,105.3827239684,98.2023991742,97.1664563497,98.4168865435,-5.8331
101.5429304361,99.2097936456,102.525912377,93.3076758606,98.2023991742,100.7399334633,92.1528388547,-4.9998
98.7777274785,100.712414019,100.3571117498,95.9215308959,98.2023991742,100.0286795916,105.8731554774,-4.1665
99.7019767617,100.462659679,100.3571117498,95.2694034638,100.1601822518,101.4569232534,104.6809342324,-3.3332
95.3259393391,98.7102849656,100.3571117498,96.899722044,99.9430463105,101.4569232534,102.589660901,-2.4999
99.2417383431,101.711431379,99.8127340824,97.5518494762,97.7681272915,101.4569232534,96.0324440536,-1.6666
99.932095971,99.2097936456,101.9858897309,93.9598032927,97.3338554088,104.313410577,103.7867682986,-0.8333
98.0873698506,101.711431379,100.3571117498,98.8561043404,96.2481757021,107.1698979007,100.8013290335,0
46.5104874,59.2286275794,93.8463548471,54.8107761386,38.0201473677,100.7399334633,88.2781198085,1
113.2865550023,59.2286275794,99.8127340824,76.667735728,93.4254084647,103.596420787,188.4833382195,1.8333
156.1113626075,102.460694399,118.8006271231,87.1124652555,145.3493752892,107.1698979007,240.3742792925,2.6666
194.7977968915,148.4400589584,130.7333855936,105.0566602523,195.7569501299,138.6084662154,264.2333626502,3.4999
202.8557416629,151.1914510318,140.497343437,119.7348727817,209.2264977041,169.3300447402,266.9158604515,4.3332
218.7415119964,155.4372748117,145.9237000261,134.0923669019,223.1303171609,190.765171504,275.5643506303,5.1665
230.024898144,150.6919423518,151.3500566153,141.9232413941,230.9507706546,208.6268211541,275.5643506303,5.9998
230.9453749811,161.185718965,156.7720581831,148.4445157152,235.7313209696,224.3432373523,274.3721293853,6.8331
244.5299532217,169.6855551916,160.0296141451,148.4445157152,244.206741893,221.4867500287,300.6156552331,7.6664
242.458880338,174.4308876515,160.0296141451,153.0147530468,251.5929235041,226.4884708042,281.8283983192,8.4997
253.9723856949,174.1811333115,162.7384374183,161.4977549711,259.1962410565,232.2071813697,291.3710544317,9.333
252.8217896484,188.675073698,165.4516157129,157.2535813556,265.9310148436,228.6337042561,287.4963353855,10.1663
252.1314320205,197.1708155912,167.0803936939,156.6014539235,262.6739757235,234.3466789033,298.2312127431,10.9996
252.5916704391,206.6696691779,170.8779723021,168.6765020312,256.8077457018,237.2031662269,294.0584383856,11.8329
