Wild type,,,,,
time,"1/26/98,2","1/23/98,2","2/4/98,3",2/6/98,"2/10/98,h2"
-20.8325,101.3320926588,94.9130274844,101.216277775,98.0646526297,98.3095438007
-19.9992,110.8967138449,96.8784486836,98.5524118034,97.7154302435,100.40302267
-19.1659,101.0333512905,98.8438698828,107.5112618312,103.177565857,103.8902882732
-18.3326,104.0256623733,101.4609280572,100.7136711039,101.0872995805,94.1281835992
-17.4993,101.6308340271,95.5699195964,107.2025105026,101.3862150495,94.1281835992
-16.666,97.7471962388,98.1869777708,99.5335830339,98.8602804023,96.9157570669
-15.8327,102.5270581321,98.1869777708,99.4786657893,98.8328217801,98.3095438007
-14.9994,96.8509721338,99.495506858,97.6210963203,98.5583015891,103.1905961377
-14.1661,95.9547480288,94.2613905092,98.5524118034,96.4069011563,99.0092359362
-13.3328,102.2283167638,96.2268117084,98.8611631321,97.5439874202,101.0971172684
-12.4995,98.3446789755,96.2268117084,102.003593663,99.1152026857,98.3095438007
-11.6662,98.9421617121,101.4609280572,98.2385989776,99.8497635174,103.1905961377
-10.8329,99.2409030805,96.2268117084,99.1699144607,97.6983630846,103.8902882732
-9.9996,95.3572652921,104.7348783436,96.6948423344,100.714860339,101.0971172684
-9.1663,97.1497135021,104.0779862315,101.0224224326,102.550204332,101.0971172684
-8.333,101.3320926588,101.4609280572,96.6948423344,99.0778851958,99.0092359362
-7.4997,98.6434203438,104.0779862315,100.4049197753,102.2414530034,101.7968094039
-6.6664,100.4358685538,102.1178201692,98.2385989776,100.1782095734,97.6154492024
-5.8331,99.2409030805,102.1178201692,98.8611631321,100.4894916506,97.6154492024
-4.9998,99.5396444488,98.8438698828,99.1699144607,99.0068921718,101.7968094039
-4.1665,99.5396444488,101.4609280572,99.1699144607,100.3154212589,102.4965015393
-3.3332,96.2534893971,102.7694571444,101.6399250898,102.2046911171,100.40302267
-2.4999,103.4232822371,98.8438698828,97.003593663,97.9237317729,97.6154492024
-1.6666,99.2409030805,102.1178201692,101.9486764185,102.0332482939,103.1905961377
-0.8333,100.1371271855,106.0434074308,99.1699144607,102.6066609457,100.40302267
0,98.9421617121,103.4263492564,101.3311737612,102.3787615088,101.0971172684
1,62.4761251775,80.5139523885,77.8508882928,79.1824203406,92.7343968654
1.8333,70.2434007542,70.6973566661,66.1132763071,68.4053164866,87.1536523929
2.6666,80.1116607082,84.43953965,67.3482816217,75.8939106359,108.7713406101
3.4999,86.9876095793,93.6044983972,67.6570329503,80.6307656738,122.0151133501
4.3332,87.8838336843,94.9130274844,75.3808776636,85.146952574,131.7772180241
5.1665,92.962436946,100.15239897,87.1184896492,93.6354443096,145.7206828995
5.9998,94.1574024193,105.3865153187,75.9983803209,90.6924478198,139.4458438287
6.8331,106.4155933199,106.0434074308,91.7548210761,98.8991142534,147.1144696334
7.6664,102.8257995005,106.7002995428,85.2659816774,95.9831406101,150.6017352365
8.4997,105.5193692149,108.00882863,88.3534949638,98.1811617969,151.301427372
9.333,98.3446789755,108.00882863,92.3723237334,100.1905761817,146.420375035
10.1663,101.9295753955,105.3865153187,91.4460697474,98.4162925331,151.301427372
10.9996,106.1168519516,107.3519365179,91.4460697474,99.3990031327,150.6017352365
11.8329,108.8055242666,104.7348783436,94.5335830339,99.6342306887,155.4827875735
12.6662,103.1245408688,106.7002995428,99.4786657893,103.0894826661,148.5138539043
13.4995,105.5193692149,110.6258868044,87.1184896492,98.8721882268,155.4827875735
14.3328,102.2283167638,111.2775237795,90.5198157615,100.8986697705,150.6017352365
15.1661,102.5270581321,102.1178201692,92.681075062,97.3994476156,149.9076406381
15.9994,101.3320926588,110.6258868044,92.9898263906,101.8078565975,154.0890008396
16.8327,101.6308340271,105.3865153187,97.003593663,101.1950544909,149.9076406381
17.666,101.3320926588,107.3519365179,90.8285670901,99.090251804,150.6017352365
18.4993,98.9421617121,104.0779862315,93.6073290479,98.8426576397,149.2079485027
19.3326,99.8383858171,106.7002995428,92.9898263906,99.8450629667,148.5138539043
20.1659,100.7346099221,106.0434074308,93.6073290479,99.8253682393,152.6952141058
20.9992,104.9218864783,106.0434074308,91.4460697474,98.7447385891,151.9955219703
21.8325,96.5522307655,106.7002995428,102.8749304044,104.7876149736,155.4827875735
22.6658,111.1954552133,108.00882863,102.2574277471,105.1331281886,149.2079485027
23.4991,105.5193692149,102.7694571444,96.3860910057,99.577774075,147.1144696334
24.3324,105.5193692149,105.3865153187,101.3311737612,103.35884454,149.9076406381
25.1657,100.7346099221,100.8040359451,100.7136711039,100.7588535245,140.1455359642
25.999,100.1371271855,103.4263492564,107.2025105026,105.3144298795,143.6328015673
26.8323,103.7269210049,98.8438698828,92.0635724047,95.4537211438,140.8396305626
27.6656,93.5599196826,99.495506858,96.6948423344,98.0951745962,142.2390148335
28.4989,99.5396444488,97.5353407956,99.1699144607,98.3526276282,145.7206828995
29.3322,95.3572652921,100.8040359451,99.4786657893,100.1413508672,142.2390148335
30.1655,95.3572652921,100.15239897,105.0361897049,102.5942943375,139.4458438287
30.9988,101.0333512905,99.495506858,109.0550184745,104.2752626662,149.9076406381
31.8321,103.7269210049,97.5353407956,99.4786657893,98.5070032925,144.3268961657
32.6654,101.3320926588,97.5353407956,103.8011843903,100.668262593,142.2390148335
33.4987,92.962436946,100.15239897,105.9624436908,103.0574213304,146.420375035
34.332,98.3446789755,96.8784486836,96.3860910057,96.6322698447,141.539322698
35.1653,104.9218864783,98.8438698828,105.0361897049,101.9400297939,145.0265883011
35.9986,98.6434203438,98.1869777708,94.8423343625,96.5146560666,144.3268961657
36.8319,105.2206278466,92.952861422,105.9624436908,99.4576525564,145.7206828995
37.6652,109.1042656349,94.9130274844,100.0961684466,97.5045979655,142.9331094319
38.4985,106.4155933199,93.6044983972,105.0361897049,99.320344051,141.539322698
39.3318,101.0333512905,93.6044983972,103.1836817331,98.3940900651,142.9331094319
40.1651,100.1371271855,94.2613905092,104.109935719,99.1856631141,143.6328015673
40.9984,104.6231451099,90.3305481108,100.7136711039,95.5221096073,144.3268961657
41.8317,92.3649542093,90.9874402228,99.787417118,95.3874286704,140.1455359642
42.665,100.1371271855,92.29596931,102.2574277471,97.2766985286,139.4458438287
43.4983,95.3572652921,95.5699195964,105.6536923622,100.6118059793,142.9331094319
44.3316,99.2409030805,87.7134899364,108.4375158172,98.0755028768,135.9641757627
45.1649,96.5522307655,87.7134899364,102.8749304044,95.2942101704,140.8396305626
45.9982,95.3572652921,90.3305481108,104.109935719,97.2202419149,147.1144696334
46.8315,98.9421617121,94.2613905092,106.5799463481,100.4206684287,142.2390148335
47.6648,97.1497135021,87.7134899364,101.0224224326,94.3679561845,135.2644836272
